tuyen,chieu_di,thu_tu,ma_ben,ten_ben,stop_lat,stop_lon
1,0,1,8733,GARE DE L'OUEST,50.848995,4.320946
1,0,10,8052,MAELBEEK,50.843654,4.377588
1,0,11,8062,SCHUMAN,50.842756,4.381829
1,0,12,8072,MERODE,50.839363,4.398282
1,0,13,8082,MONTGOMERY,50.837806,4.407955
1,0,14,8092,JOSEPH.-CHARLOTTE,50.840527,4.414051
1,0,15,8102,GRIBAUMONT,50.842594,4.418967
1,0,16,8112,TOMBERG,50.844833,4.426369
1,0,17,8122,ROODEBEEK,50.847552,4.436102
1,0,18,8132,VANDERVELDE,50.847439,4.447303
1,0,19,8142,ALMA,50.849991,4.453400
1,0,2,8742,BEEKKANT,50.853386,4.322974
1,0,20,8152,CRAINHEM,50.848478,4.458929
1,0,21,8161,STOCKEL,50.841872,4.464541
1,0,22,8132,VANDERVELDE,50.847439,4.447303
1,0,23,8142,ALMA,50.849991,4.453400
1,0,24,8152,CRAINHEM,50.848478,4.458929
1,0,25,8162,STOCKEL,50.841854,4.464406
1,0,26,8122,ROODEBEEK,50.847552,4.436102
1,0,27,8132,VANDERVELDE,50.847439,4.447303
1,0,28,8142,ALMA,50.849991,4.453400
1,0,29,8152,CRAINHEM,50.848478,4.458929
1,0,3,8292,ETANGS NOIRS,50.857125,4.333143
1,0,30,8162,STOCKEL,50.841854,4.464406
1,0,4,8282,COMTE DE FLANDRE,50.854705,4.340542
1,0,5,8272,SAINTE-CATHERINE,50.851900,4.348012
1,0,6,8012,DE BROUCKERE,50.849821,4.352486
1,0,7,8022,GARE CENTRALE,50.846349,4.358776
1,0,8,8032,PARC,50.845688,4.362979
1,0,9,8042,ARTS-LOI,50.845333,4.369620
1,1,1,8161,STOCKEL,50.841872,4.464541
1,1,10,8071,MERODE,50.839534,4.397696
1,1,11,8061,SCHUMAN,50.842972,4.380974
1,1,12,8051,MAELBEEK,50.843790,4.377084
1,1,13,8041,ARTS-LOI,50.845476,4.369121
1,1,14,8031,PARC,50.845628,4.362431
1,1,15,8021,GARE CENTRALE,50.846679,4.358551
1,1,16,8011,DE BROUCKERE,50.850095,4.352165
1,1,17,8271,SAINTE-CATHERINE,50.852347,4.347749
1,1,18,8281,COMTE DE FLANDRE,50.854968,4.340056
1,1,19,8291,ETANGS NOIRS,50.857096,4.332019
1,1,2,8151,CRAINHEM,50.848796,4.458719
1,1,20,8741,BEEKKANT,50.853111,4.322763
1,1,21,8731,GARE DE L'OUEST,50.848584,4.320673
1,1,22,8721,JACQUES BREL,50.843785,4.318032
1,1,23,8711,AUMALE,50.839462,4.312081
1,1,24,8701,SAINT-GUIDON,50.834649,4.305052
1,1,25,8691,VEEWEYDE,50.829391,4.300578
1,1,26,8681,BIZET,50.824934,4.297078
1,1,27,8671,LA ROUE,50.820920,4.293693
1,1,28,8661,CERIA,50.816162,4.289054
1,1,29,8651,EDDY MERCKX,50.816767,4.280609
1,1,3,8141,ALMA,50.849881,4.453149
1,1,30,8641,ERASME,50.815223,4.266114
1,1,4,8131,VANDERVELDE,50.847387,4.446705
1,1,5,8121,ROODEBEEK,50.847530,4.435656
1,1,6,8111,TOMBERG,50.844316,4.425819
1,1,7,8101,GRIBAUMONT,50.842506,4.418286
1,1,8,8091,JOSEPH.-CHARLOTTE,50.840366,4.413792
1,1,9,8081,MONTGOMERY,50.837822,4.407364
10,0,1,5715F,HEEMBEEK,50.886989,4.376573
10,0,10,0611,ANNEESSENS,50.844150,4.345215
10,0,11,0621,LEMONNIER,50.840034,4.340985
10,0,12,0702,GARE DU MIDI,50.836407,4.338190
10,0,13,0703,PORTE DE HAL,50.832592,4.342943
10,0,14,0704,PARVIS ST-GILLES,50.829713,4.346410
10,0,15,0705,HORTA,50.825723,4.345498
10,0,16,0706,ALBERT,50.821096,4.343806
10,0,17,6253,BERKENDAEL,50.817656,4.346160
